id,kit_sku,p1,p1q,p2,p2q,p3,p3q,p4,p4q,p5,p5q
1,H6054EKIT,XXXH6054E,2,,,,,,,,
2,27CRDFPKIT,GAT5080482AB,1,XXX5140799AA,1,XXX5140798AA,1,,,,
3,DAYTBK465KIT,XXXPA1056,1,DAYTBK465,1,,,,,,
4,5073640-1AAKIT,XXX5073640AA,1,XXX5073641AA,1,,,,,,
5,VAR52089501KIT,XXX52089501AA,1,XXX800722,2,,,,,,
6,53013935ABKIT,XXX53013935AB,5,,,,,,,,
7,551358KIT,XXX55135878AF,1,XXX55135879AF,1,XXX55135890AF,1,XXX55135891AF,1,,
8,K6700KIT,XXXK6700,2,,,,,,,,
9,K200171KIT,XXXK200171,2,,,,,,,,
10,TBK465-PA1056KIT,XXXPA1056,1,BGATBK465,1,,,,,,
11,K3170KIT,XXXK3170,2,,,,,,,,
12,K7399KIT,XXXK7399,2,,,,,,,,
13,EM967KIT,XXXEM967,2,,,,,,,,
14,52088425KIT,XXX52088425,2,,,,,,,,
15,IFFBUSHKIT,XXX2089516AB,2,XXX52114354AA-B,1,,,,,,
16,520005034KIT,XXX52000504,1,XXX52000503,1,,,,,,
17,52101277ABKIT,XXX52101278AB,1,XXX52101277AA,1,,,,,,
18,TX71TKIT,XXXTX71,2,,,,,,,,
19,EM973x2KIT,XXXEM973,2,,,,,,,,
20,52005476-7KIT,OEM52005477,1,OEM52005476,1,,,,,,